T,ENC,IMU,Lag,ENC_RAW
1083,0.00,0.09,3.0,275
1087,0.00,0.09,4.8,275
1090,0.00,0.09,3.4,275
1095,0.00,0.09,5.0,275
1098,0.00,0.09,3.6,275
1102,0.00,0.09,4.6,275
1105,0.00,0.09,3.2,275
1109,0.00,0.09,4.2,275
1112,0.00,0.09,2.8,275
1116,0.00,0.09,4.1,275
1122,0.00,0.09,7.0,275
1126,0.00,0.09,6.2,275
1130,0.00,0.09,5.6,275
1135,0.00,0.09,5.0,275
1139,0.00,0.09,4.1,275
1143,0.00,0.09,5.3,275
1146,0.00,0.09,4.1,275
1150,0.00,0.09,5.5,275
1153,0.00,0.09,3.7,275
1157,0.00,0.09,5.2,275
1161,0.00,0.09,3.6,275
1164,0.00,0.09,4.8,275
1168,0.00,0.09,3.4,275
1172,0.00,0.09,4.4,275
1175,0.00,0.09,3.0,275
1179,0.00,0.09,4.2,275
1182,0.00,0.09,5.0,275
1185,0.00,0.09,3.3,275
1190,0.00,0.09,5.3,275
1193,0.00,0.09,3.8,275
1197,0.00,0.09,4.8,275
1200,0.00,0.09,3.2,275
1204,0.00,0.09,4.4,275
1207,0.00,0.09,5.3,275
1211,0.00,0.09,5.5,275
1214,0.00,0.09,4.7,275
1218,0.00,0.09,3.4,275
1222,0.00,0.09,4.4,275
1225,0.00,0.09,3.2,275
1230,0.00,0.09,6.2,275
1233,0.00,0.09,3.4,275
1237,0.00,0.09,4.6,275
1240,0.00,0.09,5.5,275
1243,0.00,0.09,4.1,275
1247,0.00,0.09,5.0,275
1250,0.00,0.09,3.0,275
1254,0.00,0.09,4.6,275
1258,0.00,0.09,2.8,275
1261,0.00,0.09,4.6,275
1265,0.00,0.09,2.8,275
1270,0.00,0.09,5.3,275
1273,0.00,0.09,3.7,275
1277,0.00,0.09,5.3,275
1281,0.00,0.09,5.9,275
1284,0.00,0.09,4.7,275
1290,0.00,0.09,5.4,275
1294,0.00,0.09,4.8,275
1298,0.00,0.09,3.6,275
1302,0.00,0.09,5.2,275
1305,0.00,0.09,4.0,275
1310,0.00,0.09,5.5,275
1313,0.00,0.09,4.1,275
1317,0.00,0.09,5.3,275
1321,0.00,0.09,6.7,275
1324,0.00,0.09,4.7,275
1328,0.00,0.09,3.4,275
1331,0.00,0.09,4.8,275
1335,0.00,0.09,3.0,275
1339,0.00,0.09,3.9,275
1342,0.00,0.09,5.2,275
1345,0.00,0.09,3.6,275
1349,0.00,0.09,4.8,275
1352,0.00,0.09,3.4,275
1357,0.00,0.09,4.8,275
1360,0.00,0.09,3.4,275
1364,0.00,0.09,5.0,275
1368,0.00,0.09,3.5,275
1372,0.00,0.09,5.5,275
1375,0.00,0.09,4.1,275
1379,0.00,0.09,3.9,275
1383,0.00,0.09,3.3,275
1386,0.00,0.09,4.4,275
1389,0.00,0.09,5.2,275
1393,0.00,0.09,3.8,275
1396,0.00,0.09,4.6,275
1400,0.00,0.09,5.7,275
1404,0.00,0.09,4.7,275
1407,0.00,0.09,3.3,275
1412,0.00,0.09,5.3,275
1415,0.00,0.09,4.2,275
1419,0.00,0.09,3.9,275
1422,0.00,0.09,3.7,275
1426,0.00,0.09,4.4,275
1429,0.00,0.09,5.2,275
1432,0.00,0.09,3.6,275
1436,0.00,0.09,4.8,275
1440,0.00,0.09,5.7,275
1444,0.00,0.09,4.7,275
1447,0.00,0.09,3.4,275
1492,0.00,0.09,45.2,275
1496,0.00,0.09,11.8,275
1505,0.00,0.09,10.3,275
1508,0.00,0.09,4.5,275
1512,0.00,0.09,2.8,275
1516,0.00,0.09,4.6,275
1519,0.00,0.09,3.2,275
1523,0.00,0.09,4.2,275
1526,0.00,0.09,5.2,275
1530,0.00,0.09,3.6,275
1534,0.00,0.09,4.8,275
1537,0.00,0.09,3.4,275
1541,0.00,0.09,4.4,275
1544,0.00,0.09,5.3,275
1547,0.00,0.09,4.1,275
1551,0.00,0.09,5.2,275
1555,0.00,0.09,3.4,275
1558,0.00,0.09,4.8,275
1562,0.00,0.09,3.0,275
1565,0.00,0.09,4.2,275
1569,0.00,0.09,5.2,275
1572,0.00,0.09,3.6,275
1576,0.00,0.09,4.6,275
1579,0.00,0.09,3.2,275
1583,0.00,0.09,4.2,275
1586,0.00,0.09,2.8,275
1590,0.00,0.09,4.1,275
1593,0.00,0.09,5.0,275
1597,0.00,0.09,3.4,275
1601,0.00,0.09,4.4,275
1604,0.00,0.09,5.2,275
1607,0.00,0.09,3.2,275
1611,0.00,0.09,5.2,275
1614,0.00,0.09,3.0,275
1618,0.00,0.09,4.8,275
1622,0.00,0.09,3.2,275
1626,0.00,0.09,4.6,275
1629,0.00,0.09,3.2,275
1633,0.00,0.09,4.2,275
1636,0.00,0.09,5.2,275
1640,0.00,0.09,4.6,275
1643,0.00,0.09,4.7,275
1647,0.00,0.09,3.2,275
1651,0.00,0.09,5.6,275
1656,0.00,0.09,4.8,275
1660,0.00,0.09,4.3,275
1664,0.00,0.09,3.4,275
1668,0.00,0.09,4.1,275
1672,0.00,0.09,4.2,275
1675,0.00,0.09,3.7,275
1679,0.00,0.09,5.3,275
1682,0.00,0.09,3.8,275
1686,0.00,0.09,5.5,275
1690,0.00,0.09,4.3,275
1694,0.00,0.09,5.3,275
1697,0.00,0.09,3.9,275
1701,0.00,0.09,5.0,275
1704,0.00,0.09,3.4,275
1708,0.00,0.09,4.4,275
1711,0.00,0.09,3.0,275
1715,0.00,0.09,3.9,275
1718,0.00,0.09,5.2,275
1722,0.00,0.09,3.6,275
1726,0.00,0.09,4.6,275
1729,0.00,0.09,3.2,275
1733,0.00,0.09,4.8,275
1737,0.00,0.09,4.4,275
1741,0.00,0.09,5.0,275
1744,0.00,0.09,3.6,275
1748,0.00,0.09,4.6,275
1751,0.00,0.09,3.2,275
1755,0.00,0.09,4.4,275
1758,0.00,0.09,5.3,275
1762,0.00,0.09,3.8,275
1766,0.00,0.09,5.5,275
1770,0.00,0.09,4.1,275
1773,0.00,0.09,5.2,275
1777,0.00,0.09,3.8,275
1781,0.00,0.09,5.8,275
1784,0.00,0.09,3.2,275
1788,0.00,0.09,5.2,275
1792,0.00,0.09,3.6,275
1795,0.00,0.09,4.8,275
1799,0.00,0.09,3.2,275
1803,0.00,0.09,3.7,275
1806,0.00,0.09,5.3,275
1809,0.00,0.09,3.9,275
1814,0.00,0.09,5.5,275
1817,0.00,0.09,4.3,275
1823,0.00,0.09,7.2,275
1827,0.00,0.09,4.3,275
1831,0.00,0.09,3.2,275
1835,0.00,0.09,4.6,275
1838,0.00,0.09,5.3,275
1842,0.00,0.09,4.0,275
1846,0.00,0.09,6.0,275
1849,0.00,0.09,2.8,275
1853,0.00,0.09,4.6,275
1856,0.00,0.09,5.5,275
1859,0.00,0.09,5.9,275
1863,0.00,0.09,4.9,275
1867,0.00,0.09,3.8,275
1870,0.00,0.09,4.8,275
1874,0.00,0.09,3.4,275
1877,0.00,0.09,4.4,275
1881,0.00,0.09,5.5,275
1884,0.00,0.09,3.8,275
1888,0.00,0.09,5.3,275
1892,0.00,0.09,3.8,275
1896,0.00,0.09,5.2,275
1899,0.00,0.09,4.1,275
1902,0.00,0.09,4.4,275
1906,0.00,0.09,5.3,275
1909,0.00,0.09,3.8,275
1913,0.00,0.09,5.5,275
1929,0.00,0.09,5.9,275
1933,0.00,0.09,5.0,275
1939,0.00,0.09,5.6,275
1943,0.00,0.09,5.4,275
1947,0.00,0.09,4.1,275
1951,0.00,0.09,5.3,275
1955,0.00,0.09,4.5,275
1959,0.00,0.09,5.5,275
1962,0.00,0.09,4.1,275
1966,0.00,0.09,5.3,275
1969,0.00,0.09,4.0,275
1973,0.00,0.09,2.5,275
1977,0.00,0.09,3.3,275
1980,0.00,0.09,4.8,275
1983,0.00,0.09,3.2,275
1987,0.00,0.09,4.4,275
1991,0.00,0.09,3.8,275
1994,0.00,0.09,4.1,275
2000,0.00,0.09,7.0,275
2004,0.00,0.09,3.2,275
2008,0.00,0.09,3.0,275
2012,0.00,0.09,3.9,275
2015,0.00,0.09,5.0,275
2019,0.00,0.09,4.8,275
2022,0.00,0.09,4.3,275
2026,0.00,0.09,3.0,275
2030,0.00,0.09,5.0,275
2033,0.00,0.09,3.4,275
2037,0.00,0.09,4.6,275
2040,0.00,0.09,3.0,275
2044,0.00,0.09,3.7,275
2048,0.00,0.09,5.0,275
2051,0.00,0.09,3.0,275
2055,0.00,0.09,4.6,275
2058,0.00,0.09,3.2,275
2062,0.00,0.09,4.4,275
2065,0.00,0.09,5.3,275
2069,0.00,0.09,3.8,275
2072,0.00,0.09,4.8,275
2076,0.00,0.09,3.4,275
2079,0.00,0.09,4.4,275
2083,0.00,0.09,5.5,275
2086,0.00,0.09,3.8,275
2090,0.00,0.09,5.3,275
2094,0.00,0.09,3.8,275
2097,0.00,0.09,5.0,275
2101,0.00,0.09,3.4,275
2104,0.00,0.09,4.6,275
2108,0.00,0.09,3.0,275
2112,0.00,0.09,3.7,275
2115,0.00,0.09,5.0,275
2118,0.00,0.09,6.1,275
2122,0.00,0.09,4.5,275
2125,0.00,0.09,5.5,275
2129,0.00,0.09,4.1,275
2133,0.00,0.09,5.2,275
2136,0.00,0.09,3.8,275
2140,0.00,0.09,4.8,275
2143,0.00,0.09,3.4,275
2147,0.00,0.09,4.4,275
2150,0.00,0.09,5.5,275
2154,0.00,0.09,4.0,275
2157,0.00,0.09,3.5,275
2198,0.00,0.09,42.9,275
2202,0.00,0.09,9.2,275
2211,0.00,0.09,10.9,275
2215,0.00,0.09,5.2,275
2218,0.00,0.09,5.5,275
2221,0.00,0.09,4.5,275
2225,0.00,0.09,5.5,275
2229,0.00,0.09,4.1,275
2232,0.00,0.09,5.2,275
2236,0.00,0.09,3.7,275
2240,0.00,0.09,5.0,275
2243,0.00,0.09,3.4,275
2247,0.00,0.09,4.8,275
2250,0.00,0.09,3.2,275
2254,0.00,0.09,4.4,275
2257,0.00,0.09,5.3,275
2261,0.00,0.09,3.8,275
2265,0.00,0.09,5.5,275
2269,0.00,0.09,4.1,275
2273,0.00,0.09,6.3,275
2276,0.00,0.09,4.1,275
2280,0.00,0.09,5.0,275
2283,0.00,0.09,3.6,275
2287,0.00,0.09,4.8,275
2290,0.00,0.09,3.0,275
2294,0.00,0.09,3.9,275
2297,0.00,0.09,5.2,275
2301,0.00,0.09,4.8,275
2305,0.00,0.09,5.3,275
2308,0.00,0.09,4.3,275
2312,0.00,0.09,5.2,275
2316,0.00,0.09,3.8,275
2319,0.00,0.09,5.0,275
2323,0.00,0.09,3.4,275
2327,0.00,0.09,5.6,275
2330,0.00,0.09,3.0,275
2334,0.00,0.09,3.9,275
2337,0.00,0.09,5.2,275
2340,0.00,0.09,3.6,275
2345,0.00,0.09,5.3,275
2348,0.00,0.09,4.1,275
2352,0.00,0.09,5.2,275
2356,0.00,0.09,4.8,275
2360,0.00,0.09,5.5,275
2366,0.00,0.09,7.1,275
2370,0.00,0.09,4.8,275
2374,0.00,0.09,4.3,275
2378,0.00,0.09,3.4,275
2381,0.00,0.09,4.4,275
2385,0.00,0.09,5.7,275
2388,0.00,0.09,4.1,275
2392,0.00,0.09,5.2,275
2395,0.00,0.09,3.8,275
2399,0.00,0.09,4.8,275
2402,0.00,0.09,3.4,275
2407,0.00,0.09,5.2,275
2410,0.00,0.09,3.5,275
2414,0.00,0.09,4.6,275
2417,0.00,0.09,3.5,275
2421,0.00,0.09,4.2,275
2424,0.00,0.09,4.8,275
2427,0.00,0.09,2.9,275
2431,0.00,0.09,4.2,275
2434,0.00,0.09,5.3,275
2438,0.00,0.09,3.9,275
2442,0.00,0.09,5.0,275
2445,0.00,0.09,3.6,275
2449,0.00,0.09,4.6,275
2452,0.00,0.09,3.2,275
2456,0.00,0.09,4.2,275
2459,0.00,0.09,5.2,275
2463,0.00,0.09,3.6,275
2467,0.00,0.09,5.2,275
2470,0.00,0.09,3.6,275
2474,0.00,0.09,5.2,275
2478,0.00,0.09,5.9,275
2481,0.00,0.09,4.5,275
2485,0.00,0.09,3.2,275
2488,0.00,0.09,4.4,275
2492,0.00,0.09,2.8,275
2496,0.00,0.09,4.1,275
2499,0.00,0.09,5.0,275
2502,0.00,0.09,2.8,275
2506,0.00,0.09,4.6,275
2509,0.00,0.09,5.5,275
2513,0.00,0.09,4.5,275
2517,0.00,0.09,5.5,275
2521,0.00,0.09,4.1,275
2527,0.00,0.09,8.3,275
2531,0.00,0.09,5.3,275
2535,0.00,0.09,3.4,275
2539,0.00,0.09,4.8,275
2542,0.00,0.09,3.2,275
2546,0.00,0.09,4.4,275
2549,0.00,0.09,2.9,275
2554,0.00,0.09,5.2,275
2557,0.00,0.09,4.6,275
2561,0.00,0.09,4.4,275
2564,0.00,0.09,5.3,275
2568,0.00,0.09,3.8,275
2571,0.00,0.09,5.0,275
2575,0.00,0.09,3.0,275
2578,0.00,0.09,4.4,275
2582,0.00,0.09,3.0,275
2586,0.00,0.09,4.4,275
2589,0.00,0.09,5.2,275
2592,0.00,0.09,3.6,275
2596,0.00,0.09,4.8,275
2599,0.00,0.09,3.2,275
2603,0.00,0.09,3.9,275
2606,0.00,0.09,5.3,275
2610,0.00,0.09,3.2,275
2614,0.00,0.09,5.0,275
2617,0.00,0.09,4.4,275
2620,0.00,0.09,4.1,275
2624,0.00,0.09,5.0,275
2627,0.00,0.09,3.4,275
2631,0.00,0.09,4.4,275
2634,0.00,0.09,5.5,275
2638,0.00,0.09,6.6,275
2641,0.00,0.09,4.9,275
2645,0.00,0.09,3.6,275
2649,0.00,0.09,5.1,275
2652,0.00,0.09,3.8,275
2656,0.00,0.09,4.8,275
2659,0.00,0.09,5.7,275
2663,0.00,0.09,4.1,275
2666,0.00,0.09,5.2,275
2670,0.00,0.09,3.1,275
2673,0.00,0.09,4.8,275
2677,0.00,0.09,4.2,275
2680,0.00,0.09,4.2,275
2684,0.00,0.09,6.1,275
2690,0.00,0.09,7.0,275
2694,0.00,0.09,5.2,275
2698,0.00,0.09,6.1,275
2701,0.00,0.09,5.4,275
2705,0.00,0.09,4.3,275
2709,0.00,0.09,5.3,275
2712,0.00,0.09,3.7,275
2716,0.00,0.09,4.8,275
2719,0.00,0.09,3.4,275
2723,0.00,0.09,4.4,275
2726,0.00,0.09,3.0,275
2730,0.00,0.09,3.9,275
2733,0.00,0.08,5.2,275
2737,0.00,0.08,3.6,275
2741,0.00,0.08,4.6,275
2744,0.00,0.08,3.2,275
2748,0.00,0.08,4.2,275
2751,0.00,0.08,5.3,275
2754,0.00,0.08,3.8,275
2758,0.00,0.08,4.8,275
2762,0.00,0.08,3.2,275
2765,0.00,0.08,4.6,275
2769,0.00,0.08,3.0,275
2773,0.00,0.08,4.2,275
2776,0.00,0.08,2.7,275
2780,0.00,0.08,3.9,275
2783,0.00,0.08,4.8,275
2786,0.00,0.08,3.0,275
2790,0.00,0.08,4.4,275
2793,0.00,0.08,2.7,275
2797,0.00,0.08,4.1,275
2801,0.00,0.08,4.8,275
2804,0.00,0.08,3.4,275
2808,0.00,0.08,4.4,275
2811,0.00,0.08,2.8,275
2815,0.00,0.08,4.1,275
2818,0.00,0.08,5.0,275
2822,0.00,0.08,3.4,275
2825,0.00,0.08,3.9,275
2829,0.00,0.08,5.5,275
2833,0.00,0.08,4.7,275
2837,0.00,0.08,5.3,275
2840,0.00,0.08,4.3,275
2844,0.00,0.08,5.7,275
2850,0.00,0.08,7.1,275
2891,0.00,0.08,42.0,275
2895,0.00,0.08,12.7,275
2903,0.00,0.08,6.6,275
2907,0.00,0.08,3.4,275
2911,0.00,0.08,5.5,275
2914,0.00,0.08,4.2,275
2919,0.00,0.08,5.5,275
2922,0.00,0.08,4.1,275
2926,0.00,0.08,5.5,275
2930,0.00,0.08,4.6,275
2934,0.00,0.08,5.3,275
2937,0.00,0.08,4.2,275
2941,0.00,0.08,4.1,275
2944,0.00,0.08,3.6,275
2948,0.00,0.08,4.6,275
2951,0.00,0.08,2.8,275
2955,0.00,0.08,4.6,275
2958,0.00,0.08,2.8,275
2962,0.00,0.08,4.2,275
2965,0.00,0.08,5.0,275
2969,0.00,0.08,3.4,275
2972,0.00,0.08,4.4,275
2976,0.00,0.08,3.0,275
2980,0.00,0.08,3.5,275
2983,0.00,0.08,5.2,275
2986,0.00,0.08,2.8,275
2990,0.00,0.08,4.8,275
2993,0.00,0.08,5.5,275
2997,0.00,0.08,4.1,275
3000,0.00,0.08,5.2,275
3004,0.00,0.08,3.6,275
3008,0.00,0.08,4.6,275
3011,0.00,0.08,3.2,275
3015,0.00,0.08,4.6,275
3018,0.00,0.08,5.5,275
3022,0.00,0.08,4.1,275
3026,0.00,0.08,5.3,275
3029,0.00,0.08,3.9,275
3033,0.00,0.08,5.0,275
3036,0.00,0.08,5.7,275
3039,0.00,0.08,4.3,275
3043,0.00,0.08,5.3,275
3047,0.00,0.08,4.4,275
3053,0.00,0.08,8.2,275
3057,0.00,0.08,4.9,275
3061,0.00,0.08,5.5,275
3065,0.00,0.08,4.7,275
3069,0.00,0.08,4.5,275
3073,0.00,0.08,5.3,275
3076,0.00,0.08,5.9,275
3080,0.00,0.08,4.7,275
3084,0.00,0.08,4.4,275
3087,0.00,0.08,4.6,275
3091,0.00,0.08,5.7,275
3094,0.00,0.08,5.9,275
3097,0.00,0.08,5.2,275
3101,0.00,0.08,3.2,275
3105,0.00,0.08,5.0,275
3108,0.00,0.08,3.6,275
3113,0.00,0.08,5.0,275
3116,0.00,0.08,5.9,275
3119,0.00,0.08,4.5,275
3123,0.00,0.08,3.0,275
3127,0.00,0.08,4.4,275
3130,0.00,0.08,2.7,275
3134,0.00,0.08,3.5,275
3137,0.00,0.08,4.8,275
3141,0.00,0.08,3.4,275
3144,0.00,0.08,4.4,275
3148,0.00,0.08,3.0,275
3152,0.00,0.08,4.8,275
3156,0.00,0.08,5.7,275
3171,0.00,0.08,4.1,275
3175,0.00,0.08,4.7,275
3181,0.00,0.08,3.2,275
3184,0.00,0.08,4.4,275
3188,0.00,0.08,3.0,275
3192,0.00,0.08,4.2,275
3195,0.00,0.08,3.9,275
3198,0.00,0.08,3.5,275
3202,0.00,0.08,4.4,275
3205,0.00,0.08,5.2,275
3208,0.00,0.08,3.8,275
3212,0.00,0.08,4.8,275
3215,0.00,0.08,3.2,275
3220,0.00,0.08,5.0,275
3223,0.00,0.08,3.4,275
3227,0.00,0.08,4.8,275
