T,ENC,IMU,Lag,ENC_RAW
1188,0.00,0.01,5.5,275
1191,0.00,0.01,4.1,275
1195,0.00,0.01,5.3,275
1198,0.00,0.01,5.9,275
1202,0.00,0.01,4.7,275
1205,0.00,0.01,3.4,275
1209,0.00,0.01,4.1,275
1213,0.00,0.01,5.5,275
1216,0.00,0.01,4.1,275
1220,0.00,0.01,5.2,275
1223,0.00,0.01,3.6,275
1227,0.00,0.01,4.6,275
1230,0.00,0.01,3.2,275
1234,0.00,0.01,4.2,275
1237,0.00,0.01,5.3,275
1241,0.00,0.01,6.3,275
1244,0.00,0.01,4.7,275
1248,0.00,0.01,5.6,275
1251,0.00,0.01,4.2,275
1255,0.00,0.01,5.3,275
1258,0.00,0.01,5.9,275
1262,0.00,0.01,4.7,275
1265,0.00,0.01,3.4,275
1272,0.00,0.01,6.9,275
1275,0.00,0.01,2.8,275
1280,0.00,0.01,5.2,275
1283,0.00,0.01,3.6,275
1287,0.00,0.01,4.8,275
1290,0.00,0.01,3.0,275
1294,0.00,0.01,5.0,275
1298,0.00,0.01,5.9,275
1301,0.00,0.01,4.5,275
1305,0.00,0.01,3.2,275
1309,0.00,0.01,4.2,275
1312,0.00,0.01,2.8,275
1316,0.00,0.01,3.7,275
1319,0.00,0.01,4.8,275
1323,0.00,0.01,3.2,275
1326,0.00,0.01,4.4,275
1330,0.00,0.01,5.3,275
1334,0.00,0.01,4.5,275
1337,0.00,0.01,5.3,275
1341,0.00,0.01,4.9,275
1345,0.00,0.01,3.5,275
1350,0.00,0.01,5.3,275
1366,0.00,0.01,17.1,275
1369,0.00,0.02,4.5,275
1375,0.00,0.02,5.4,275
1379,0.00,0.02,7.0,275
1382,0.00,0.02,3.0,275
1386,0.00,0.02,4.1,275
1389,0.00,0.02,4.9,275
1392,0.00,0.02,3.5,275
1396,0.00,0.02,3.3,275
1400,0.00,0.02,3.0,275
1403,0.00,0.02,3.7,275
1406,0.00,0.02,4.8,275
1410,0.00,0.02,3.2,275
1414,0.00,0.02,5.4,275
